IMO;Design Speed (knots)
6286807;12.5
5846279;10
6243599;27.5
6286364;13.5
6286372;13
6339564;13.8
6339572;13.29108033
6271984;14.5
6271992;14.5
6285955;12
6269568;11.5
6273392;11.73571429
6251698;19.5
6262654;18
6269803;18
6279417;13.6
6342032;12
6342033;12
6342041;12
6342049;12
6342057;12
6342065;12
6227614;11
6278926;11
6278927;11
6324501;11
6255957;20.3
6278241;14
6377526;14
6360104;14
6352617;13.5
6352625;13.5
6254811;15
6265927;21.7
6266767;12.5
6252332;21.5
6285118;14.3
6285126;13.9
6285163;13.9
6294850;14.5
6323737;16
6222447;16
6222455;15.4
6326373;13
6298191;15
6298199;15
6298203;12.21954023
6271499;15
6274452;16
6275281;13.3
6275289;13.3
6394596;14.5
6276899;13
6394606;13.5
6348103;13
6348111;13
6362019;13
6248304;24
6269543;24
6276901;13
6276909;13
6276917;13
6276925;13
5846365;11.73571429
6271237;13.6
6312876;13.7
6269343;15.5
6269351;15.5
6269359;15.5
6269361;15.5
5846259;11.73571429
6250567;10.5
6209139;10.5
6209141;10.5
6209149;10.5
6320282;11.73571429
6280515;17
6280523;17
6254819;15
6266775;10.9
6280531;17
6280534;17
6280542;17
6280550;17
6280558;17
6249393;13.0798916
6273169;11
6280566;17
6321345;11
6360767;13.0798916
6266347;15
6285597;14
6285601;14
6263517;8
5845797;11.73571429
6285609;14
6285617;14
6275430;11.73571429
6292666;10
6292672;13.29108033
6209157;10.5
6285171;13.9
6279178;13.5
6363113;13.5
6370263;14.01548052
6370275;14.01548052
6260123;18.52122302
6279520;14
6279528;14
6279538;14.5
6279546;14
6279547;14
6377527;14
6377537;14
6292775;13.7
6292783;12.21954023
6345488;12
6345496;12
6345504;12
6371631;16
6275621;14.01548052
6297895;6
6285249;13.9
6285257;13.9
6246282;12
6361712;12
6361739;12
6269811;18
6292658;13.29108033
6284326;13
6284327;13
6296129;13
6296503;12
6296511;13
6371639;16
6336849;13.29108033
6362950;17
6284911;13.3
6284919;13.5
6275535;13.29108033
6431891;12.5
6286373;13
6307328;13.29108033
6307334;13.29108033
6278456;18
6278464;18
6278467;18
6278475;18
6278483;18
6275629;20
6278499;18
6294946;18
6294947;18
6294955;18
6241093;18.52122302
6255933;20.4
6275551;20.4
6318395;18.52122302
6254089;18.52122302
6259762;18.52122302
6267530;18.52122302
6257115;18.52122302
6260453;18.52122302
6327306;20
6344086;19.75
6346917;19.75
6400352;19.5
6265301;15
6320769;20
6316805;20
6275253;19.7
6283518;19.75
6327307;20
6327875;20
6258057;22.9
6283152;18
6283153;18
6296401;12
6296409;12.5
6299329;16.1
6299377;16.1
6341899;16
6319694;14
6364752;20.15
6365370;20.15
6375176;13.29108033
6325069;11.5
6337125;12.5
6291087;13.5
6389241;13.5
6301801;14
6381813;13.29108033
6387347;13.29108033
6390791;13.29108033
6380662;13
6380668;13
6240615;19.5
6286311;14.5
6326321;15.4
6280221;12.3
6280229;12.3
6320255;15.3
6362021;13
6287298;13
6287306;13
6287307;13
6287315;13
6287323;13
6287331;13
6287337;13
6287345;13
6295503;24.5
6304193;13
6321951;9.8
6379317;14.01548052
6376076;13.5
6381664;14.01548052
6438623;14
5846374;10
6278937;11
6324537;11.7
6352792;11.6
6352793;11.6
6353589;13.29108033
6353597;14
5846061;11.73571429
6327607;15.5
6327615;15.5
6301963;15
6301971;15
6301979;15
6301981;15
6296433;18.52122302
6247565;12.21954023
6307217;12.21954023
6307225;12.21954023
6307233;12.21954023
6307234;12.21954023
6353503;13.5
6353511;13.5
6388146;10
6388147;13.5
6290225;10.5
6290233;10.5
6290234;10.5
6290242;10.5
6290250;10.5
6288781;15
6288789;15
5846487;10
6338241;10.5
6209165;10.5
6377185;12
6383007;12
6276421;18.52122302
6405129;15.7
6320481;11
6330878;19.5
6289511;18.52122302
6330870;19.5
6296767;8
6370247;12
6252316;22
6284695;15.5
6284703;15.5
6284711;15.5
6290477;18
6290485;17.5
6351851;14.5
6338415;13.29108033
6338423;13.29108033
6338431;12
6278065;18
6338379;11
6338380;14.01548052
6286641;16
6298635;17.5
6284739;12
6284740;12
6369735;13.3
6369743;14
6298643;18.9
6295763;14.01548052
6305455;14
6371100;11
6371108;11
6302409;10.5
6344739;12.21954023
6299473;11
6299474;11
6310298;11.73571429
6336763;12
6324919;12.5
6324920;12.5
6316308;14.01548052
6316316;14
6310969;14
6310977;14
6364822;14.01548052
6364830;16
6333905;14.01548052
5846443;11.73571429
5846529;11.73571429
6234327;28.5
6234337;28.5
6283255;22.2
6299482;11
6299490;11
6252324;22
6288655;13.5
6288663;13
6333225;14
6307342;13.29108033
6307350;13.29108033
6255965;22
6333157;12.5
6233814;24.5
6305674;24.5
6305682;24.5
6305690;24.5
6295841;14
6308837;13.29108033
6408371;14
6305463;14
6344457;10.1
6290493;17.5
6306506;17.5
6414998;18.5
6350373;16
6209173;10.5
6320229;11.73571429
6339971;14
6339979;14
6338406;14
6338407;14
6371761;13.29108033
6374993;13.29108033
6385310;13.29108033
6364838;14.01548052
6364846;16
6281143;13
6292828;14
6322031;14.5
6322039;14.5
6310701;16
6310863;16
6310867;16
6310875;16
6304813;16
6310883;16
6310891;16
6310899;16
6310900;16
6310908;16
6310916;16
6357165;14.5
6333096;14.8
6333104;12
6284337;14
6345920;14
6338233;10.5
6306369;18
6306377;13.29108033
6346157;10.5
6310091;16.5
6245535;19.5
6245543;19.5
6316040;16
6316048;16
6283371;12
6283379;12
6286737;22
6436647;14.5
6418575;13
6429931;13.5
6325695;15
6325703;15
6384469;11.5
6345617;11.5
6372386;12.21954023
6375405;12.21954023
6380075;12.85
6385590;12.21954023
6310733;14.01548052
5846718;11.73571429
6282499;13.7
6308958;13.7
6308966;13.7
6308967;13.7
6313644;17
6313652;17
6390010;13
6424619;12
6424621;12
6419735;12
6419743;12
6370267;14.01548052
6370283;14.01548052
6417474;14
6417482;14.5
6312137;18
6371169;13
6359873;10
6376422;12
6358732;14
6345601;11.5
6345609;11.5
6388833;15
6401195;15
6401214;15
6322065;13
6322068;14
6423387;12
6326786;12
6317493;13.29108033
5846831;14.01548052
6381493;13.29108033
6320437;14
3271928;25
3271938;25
6431185;11.2
6537045;13.0798916
6312352;13
6312353;13
6312593;21
6312594;21
6312604;21
6312612;21
6312613;21
6312621;21
6327570;12
6317492;13.29108033
6385877;12
6385885;14.5
6290258;10.5
6297860;13.29108033
6330234;15.5
6322084;19
6135807;13.0798916
6290266;10.5
6394801;10
6399561;10
6399569;10
6418675;13
6405111;13.29108033
6460470;11.5
6370412;13
6292044;19.5
6292052;20
6342849;12
6342857;12
6372646;8
6358751;15
6358759;15
6358735;18
6358743;17
6376007;12
6321935;16.5
6384449;10
6388842;12
6334636;12.3
6295703;19
6295711;18.5
6404434;15.5
6327985;14.01548052
6335935;12.21954023
6335943;14
6320489;15
6316917;13.6
6338249;10.5
6372728;13.0798916
6395042;13.5
6333897;15
6352097;10.5
6365735;10.8
6319901;19.6
6330773;11.73571429
6335004;16
6335012;16
6373291;10.5
6364306;15
6364307;15
6364315;15
6364323;15
6408139;14
6375732;12
6364030;14
6364038;14.5
6389239;11.4
6389268;10.3
6350339;12
6528559;13.29108033
6350469;13
6355269;11
6352872;13.5
6352873;13.5
6352881;13.5
6352889;13.5
6327822;11.5
6327830;11.5
6327838;11.5
6327846;11.5
6319909;19.6
6374566;14.01548052
6374567;14.01548052
6380498;14.8
6380506;14.8
6378833;13.7
6378885;13.7
6328561;12.21954023
6383953;12.21954023
6344878;18.5
6344886;18.5
6346857;18.5
6346865;18.5
6345512;12
6374091;12
6345541;13
6338711;16
6372655;8
6345050;11.73571429
6462323;13.29108033
6395050;13.5
6341013;15
6378163;14.2
6378171;14.2
6412151;14.5
6412159;14.5
6455704;10
6455712;10
6474573;10
