imo;speed 0.0 - 0.5;speed 0.5 - 1.0;speed 1.0 - 1.5;speed 1.5 - 2.0;speed 2.0 - 2.5;speed 2.5 - 3.0;speed 3.0 - 3.5;speed 3.5 - 4.0;speed 4.0 - 4.5;speed 4.5 - 5.0;speed 5.0 - 5.5;speed 5.5 - 6.0;speed 6.0 - 6.5;speed 6.5 - 7.0;speed 7.0 - 7.5;speed 7.5 - 8.0;speed 8.0 - 8.5;speed 8.5 - 9.0;speed 9.0 - 9.5;speed 9.5 - 10.0;speed 10.0 - 10.5;speed 10.5 - 11.0;speed 11.0 - 11.5;speed 11.5 - 12.0;speed 12.0 - 12.5;speed 12.5 - 13.0;speed 13.0 - 13.5;speed 13.5 - 14.0;speed 14.0 - 14.5;speed 14.5 - 15.0;speed 15.0 - 15.5;speed 15.5 - 16.0;speed 16.0 - 16.5;speed 16.5 - 17.0;speed 17.0 - 17.5;speed 17.5 - 18.0;speed 18.0 - 18.5;speed 18.5 - 19.0;speed 19.0 - 19.5;speed 19.5 - 20.0;speed 20.0 - 20.5;speed 20.5 - 21.0;speed 21.0 - 21.5;speed 21.5 - 22.0;speed 22.0 - 22.5;speed 22.5 - 23.0;speed 23.0 - 23.5;speed 23.5 - 24.0;speed 24.0 - 24.5;speed 24.5 - 25.0;speed 25.0 - 25.5;speed 25.5 - 26.0;speed 26.0 - 26.5;speed 26.5 - 27.0;speed 27.0 - 27.5;speed 27.5 - 28.0;speed 28.0 - 28.5;speed 28.5 - 29.0;speed 29.0 - 29.5;speed 29.5 - 30.0;speed >30.0
6260123;0.4286;0.0021;0.0016;0.0032;0.0021;0.0021;0.0016;0.0016;0.0021;0.0021;0.0029;0.0027;0.0029;0.0016;0.0011;0.0038;0.0046;0.007;0.0094;0.0196;0.0212;0.0166;0.0222;0.0171;0.0196;0.0204;0.0238;0.0257;0.0271;0.0238;0.0241;0.0257;0.0407;0.0504;0.0394;0.0313;0.0244;0.023;0.0121;0.0056;0.0027;0;0;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6279520;0.4732;0.0073;0.0032;0.0028;0.0028;0.0026;0.0019;0.0017;0.0026;0.003;0.0047;0.0039;0.0039;0.0056;0.0069;0.0099;0.0133;0.0174;0.0284;0.057;0.0782;0.0909;0.0787;0.0471;0.0219;0.0148;0.0092;0.0039;0.0011;0.0006;0.0011;0.0002;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6279528;0.4725;0.0072;0.0041;0.0017;0.0035;0.0033;0.0033;0.0026;0.002;0.0017;0.0011;0.0013;0.0024;0.0026;0.0028;0.0037;0.0087;0.0138;0.0214;0.0271;0.0644;0.0998;0.0806;0.0659;0.0515;0.0203;0.019;0.0066;0.0028;0.0011;0.0009;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6279538;0.3914;0.0248;0.0064;0.0025;0.003;0.0017;0.0119;0.0042;0.002;0.005;0.0032;0.0027;0.0022;0.004;0.0045;0.0059;0.0114;0.0196;0.0379;0.0463;0.0649;0.0966;0.0941;0.0708;0.0404;0.0211;0.0134;0.0054;0.0015;0.0007;0.0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6279546;0.4705;0.0096;0.0043;0.0035;0.002;0.0035;0.0026;0.004;0.0013;0.0026;0.0013;0.0026;0.0022;0.0025;0.004;0.0069;0.0122;0.0199;0.0235;0.0301;0.0587;0.0935;0.0928;0.0716;0.0371;0.0232;0.0086;0.0031;0.0012;0.0007;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6279547;0.3447;0.0092;0.0022;0.0019;0.0019;0.0019;0.0022;0.0034;0.0022;0.0029;0.004;0.0042;0.0079;0.0109;0.0088;0.0135;0.0169;0.0323;0.0418;0.067;0.1144;0.1147;0.0959;0.0504;0.0241;0.0107;0.0056;0.0016;0.0012;0.0012;0.0002;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6377527;0.4116;0.0149;0.0042;0.0031;0.0029;0.0027;0.0019;0.0038;0.0034;0.0029;0.0032;0.0042;0.0048;0.0075;0.0092;0.0097;0.0184;0.017;0.0283;0.0386;0.0583;0.0667;0.0776;0.0811;0.06;0.0277;0.018;0.0096;0.0048;0.0029;0.0006;0.0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6377537;0.4523;0.0138;0.0039;0.005;0.0024;0.0046;0.0055;0.0048;0.0042;0.0039;0.007;0.0063;0.0063;0.0046;0.0063;0.0094;0.0116;0.0153;0.026;0.0363;0.0393;0.0579;0.0819;0.0915;0.0557;0.0267;0.0085;0.0044;0.0024;0.0011;0.0009;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6292775;0.3217;0.0604;0.0308;0.0213;0.0058;0.0043;0.0044;0.0037;0.0081;0.0072;0.0087;0.0075;0.0116;0.0145;0.0157;0.0157;0.0213;0.0236;0.0323;0.0329;0.053;0.0636;0.0664;0.0609;0.0611;0.0263;0.0099;0.0044;0.0019;0.0002;0.0002;0.0004;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6292783;0.1154;0.0012;0.0017;0.0006;0.0012;0.002;0.0009;0.0009;0.0009;0.0013;0.0017;0.002;0.002;0.0033;0.0043;0.0038;0.0049;0.0109;0.014;0.0272;0.0556;0.0874;0.1181;0.1345;0.1271;0.1163;0.0977;0.0429;0.0143;0.0041;0.0012;0.0004;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6345488;0.7388;0.0097;0.0023;0.0013;0.0021;0.0014;0.0015;0.0013;0.0019;0.0017;0.0037;0.0031;0.0026;0.0026;0.0053;0.0074;0.0161;0.0223;0.0294;0.0387;0.0452;0.0343;0.0187;0.0049;0.0019;0.001;0.0001;0.0001;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0
6345496;0.453;0.0138;0.0022;0.0014;0.0019;0.0029;0.0035;0.0046;0.0041;0.0043;0.0046;0.0043;0.0057;0.008;0.0128;0.0149;0.0395;0.0456;0.0684;0.0901;0.0948;0.072;0.025;0.013;0.0057;0.0022;0.001;0.0007;0.0001;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6345504;0.4698;0.0044;0.0026;0.0031;0.0021;0.0039;0.0035;0.005;0.0047;0.0038;0.0034;0.0037;0.0034;0.0057;0.0111;0.0116;0.0291;0.0557;0.0698;0.1;0.0929;0.0628;0.0291;0.0137;0.003;0.001;0.0007;0.0003;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6371631;0.6217;0.0606;0.0413;0.0271;0.0223;0.0147;0.0123;0.0112;0.0095;0.0076;0.0057;0.0026;0.0028;0.0052;0.0059;0.0069;0.0052;0.0074;0.0066;0.0069;0.0097;0.0126;0.0062;0.0128;0.0147;0.0109;0.0123;0.019;0.0123;0.0031;0.0009;0.0007;0.0002;0;0.0005;0;0;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
